Driver,Team,Year,RoundNumber,EventName,QualiTimeSeconds,GapToPole,QualiPosition,QualiTeammateGap
STR,Aston Martin,2023,3,Australian Grand Prix,77.308,0.5760000000000076,6,0.1690000000000111
TSU,AlphaTauri,2023,3,Australian Grand Prix,78.099,1.3670000000000044,12,-0.23599999999999
VER,Red Bull Racing,2023,3,Australian Grand Prix,76.732,0.0,1,-23.455
ZHO,Alfa Romeo,2023,3,Australian Grand Prix,78.54,1.808000000000007,17,-0.1739999999999923
ALB,Williams,2023,4,Azerbaijan Grand Prix,101.818,1.6149999999999949,13,-0.4240000000000066
ALO,Aston Martin,2023,4,Azerbaijan Grand Prix,101.253,1.0499999999999972,6,-0.3229999999999933
BOT,Alfa Romeo,2023,4,Azerbaijan Grand Prix,102.259,2.0559999999999974,15,-0.3829999999999955
DEV,AlphaTauri,2023,4,Azerbaijan Grand Prix,115.282,15.078999999999994,20,13.712999999999994
GAS,Alpine,2023,4,Azerbaijan Grand Prix,104.853,4.649999999999992,19,3.0549999999999926
HAM,Mercedes,2023,4,Azerbaijan Grand Prix,101.177,0.9740000000000038,5,-0.4769999999999896
HUL,Haas F1 Team,2023,4,Azerbaijan Grand Prix,102.755,2.5519999999999925,17,-0.6620000000000061
LEC,Ferrari,2023,4,Azerbaijan Grand Prix,100.203,0.0,1,-0.8130000000000024
STR,Aston Martin,2023,4,Azerbaijan Grand Prix,101.576,1.3729999999999905,9,0.3229999999999933
TSU,AlphaTauri,2023,4,Azerbaijan Grand Prix,101.569,1.3659999999999997,8,-13.712999999999994
VER,Red Bull Racing,2023,4,Azerbaijan Grand Prix,100.391,0.1880000000000024,2,-0.1039999999999992
ZHO,Alfa Romeo,2023,4,Azerbaijan Grand Prix,102.642,2.438999999999993,16,0.3829999999999955
PIA,McLaren,2023,4,Azerbaijan Grand Prix,101.611,1.4080000000000013,10,0.3299999999999983
RUS,Mercedes,2023,4,Azerbaijan Grand Prix,101.654,1.4509999999999934,11,0.4769999999999896
SAI,Ferrari,2023,4,Azerbaijan Grand Prix,101.016,0.8130000000000024,4,0.8130000000000024
SAR,Williams,2023,4,Azerbaijan Grand Prix,102.242,2.039000000000001,14,0.4240000000000066
PER,Red Bull Racing,2023,4,Azerbaijan Grand Prix,100.495,0.2920000000000016,3,0.1039999999999992
OCO,Alpine,2023,4,Azerbaijan Grand Prix,101.798,1.5949999999999989,12,-3.0549999999999926
NOR,McLaren,2023,4,Azerbaijan Grand Prix,101.281,1.078000000000003,7,-0.3299999999999983
MAG,Haas F1 Team,2023,4,Azerbaijan Grand Prix,103.417,3.213999999999998,18,0.6620000000000061
STR,Aston Martin,2023,5,Miami Grand Prix,88.476,1.662000000000006,18,1.3790000000000049
TSU,AlphaTauri,2023,5,Miami Grand Prix,88.429,1.615000000000009,17,0.1039999999999992
VER,Red Bull Racing,2023,5,Miami Grand Prix,86.814,0.0,1,-0.027000000000001
ZHO,Alfa Romeo,2023,5,Miami Grand Prix,88.091,1.277000000000001,14,0.527000000000001
GAS,Alpine,2023,5,Miami Grand Prix,87.612,0.7980000000000018,8,0.1679999999999921
HAM,Mercedes,2023,5,Miami Grand Prix,87.846,1.032000000000011,12,0.1030000000000086
HUL,Haas F1 Team,2023,5,Miami Grand Prix,87.903,1.0890000000000128,13,0.2300000000000039
LEC,Ferrari,2023,5,Miami Grand Prix,86.964,0.1500000000000056,3,-0.1839999999999975
MAG,Haas F1 Team,2023,5,Miami Grand Prix,87.673,0.8590000000000089,9,-0.2300000000000039
NOR,McLaren,2023,5,Miami Grand Prix,88.394,1.5800000000000125,16,-0.0899999999999892
OCO,Alpine,2023,5,Miami Grand Prix,87.444,0.6300000000000097,6,-0.1679999999999921
PER,Red Bull Racing,2023,5,Miami Grand Prix,86.841,0.027000000000001,2,0.027000000000001
ALB,Williams,2023,5,Miami Grand Prix,87.795,0.9810000000000088,11,-0.7819999999999965
ALO,Aston Martin,2023,5,Miami Grand Prix,87.097,0.2830000000000012,4,-1.3790000000000049
BOT,Alfa Romeo,2023,5,Miami Grand Prix,87.564,0.75,7,-0.527000000000001
DEV,AlphaTauri,2023,5,Miami Grand Prix,88.325,1.51100000000001,15,-0.1039999999999992
PIA,McLaren,2023,5,Miami Grand Prix,88.484,1.6700000000000017,19,0.0899999999999892
RUS,Mercedes,2023,5,Miami Grand Prix,87.743,0.929000000000002,10,-0.1030000000000086
SAI,Ferrari,2023,5,Miami Grand Prix,87.148,0.3340000000000032,5,0.1839999999999975
SAR,Williams,2023,5,Miami Grand Prix,88.577,1.7630000000000052,20,0.7819999999999965
ZHO,Alfa Romeo,2023,6,Monaco Grand Prix,73.523,2.1580000000000013,19,0.8979999999999961
VER,Red Bull Racing,2023,6,Monaco Grand Prix,71.365,0.0,1,-2.4849999999999994
TSU,AlphaTauri,2023,6,Monaco Grand Prix,72.082,0.7169999999999987,9,-0.3460000000000036
STR,Aston Martin,2023,6,Monaco Grand Prix,72.623,1.2580000000000098,14,1.1740000000000066
GAS,Alpine,2023,6,Monaco Grand Prix,71.933,0.568000000000012,7,0.3800000000000096
HAM,Mercedes,2023,6,Monaco Grand Prix,71.725,0.3599999999999994,6,-0.2390000000000043
HUL,Haas F1 Team,2023,6,Monaco Grand Prix,73.279,1.9140000000000013,18,0.0090000000000003
LEC,Ferrari,2023,6,Monaco Grand Prix,71.471,0.1060000000000087,3,-0.1589999999999918
ALB,Williams,2023,6,Monaco Grand Prix,72.527,1.162000000000006,13,-0.5859999999999985
ALO,Aston Martin,2023,6,Monaco Grand Prix,71.449,0.0840000000000031,2,-1.1740000000000066
BOT,Alfa Romeo,2023,6,Monaco Grand Prix,72.625,1.2600000000000051,15,-0.8979999999999961
DEV,AlphaTauri,2023,6,Monaco Grand Prix,72.428,1.0630000000000024,12,0.3460000000000036
PIA,McLaren,2023,6,Monaco Grand Prix,72.395,1.0300000000000011,11,0.1409999999999911
RUS,Mercedes,2023,6,Monaco Grand Prix,71.964,0.5990000000000038,8,0.2390000000000043
SAI,Ferrari,2023,6,Monaco Grand Prix,71.63,0.2650000000000005,5,0.1589999999999918
SAR,Williams,2023,6,Monaco Grand Prix,73.113,1.7480000000000049,16,0.5859999999999985
PER,Red Bull Racing,2023,6,Monaco Grand Prix,73.85,2.4849999999999994,20,2.4849999999999994
OCO,Alpine,2023,6,Monaco Grand Prix,71.553,0.1880000000000024,4,-0.3800000000000096
NOR,McLaren,2023,6,Monaco Grand Prix,72.254,0.88900000000001,10,-0.1409999999999911
MAG,Haas F1 Team,2023,6,Monaco Grand Prix,73.27,1.9050000000000007,17,-0.0090000000000003
LEC,Ferrari,2023,7,Spanish Grand Prix,74.079,1.806999999999988,19,1.3449999999999989
HUL,Haas F1 Team,2023,7,Spanish Grand Prix,73.229,0.9569999999999936,10,-0.8130000000000024
HAM,Mercedes,2023,7,Spanish Grand Prix,72.818,0.5459999999999923,5,-0.5079999999999956
GAS,Alpine,2023,7,Spanish Grand Prix,72.816,0.5439999999999969,4,-0.1850000000000022
PIA,McLaren,2023,7,Spanish Grand Prix,73.059,0.7869999999999919,8,0.2830000000000012
RUS,Mercedes,2023,7,Spanish Grand Prix,73.326,1.0539999999999878,12,0.5079999999999956
SAI,Ferrari,2023,7,Spanish Grand Prix,72.734,0.4619999999999891,2,-1.3449999999999989
SAR,Williams,2023,7,Spanish Grand Prix,74.699,2.4269999999999925,20,0.6359999999999957
ALB,Williams,2023,7,Spanish Grand Prix,74.063,1.7909999999999968,18,-0.6359999999999957
ALO,Aston Martin,2023,7,Spanish Grand Prix,73.098,0.8259999999999934,9,0.1039999999999992
BOT,Alfa Romeo,2023,7,Spanish Grand Prix,73.977,1.7049999999999983,16,0.456000000000003
DEV,AlphaTauri,2023,7,Spanish Grand Prix,73.581,1.3089999999999975,15,0.2650000000000005
ZHO,Alfa Romeo,2023,7,Spanish Grand Prix,73.521,1.2489999999999952,14,-0.456000000000003
VER,Red Bull Racing,2023,7,Spanish Grand Prix,72.272,0.0,1,-1.0619999999999976
TSU,AlphaTauri,2023,7,Spanish Grand Prix,73.316,1.043999999999997,11,-0.2650000000000005
STR,Aston Martin,2023,7,Spanish Grand Prix,72.994,0.7219999999999942,6,-0.1039999999999992
PER,Red Bull Racing,2023,7,Spanish Grand Prix,73.334,1.0619999999999976,13,1.0619999999999976
OCO,Alpine,2023,7,Spanish Grand Prix,73.001,0.7289999999999992,7,0.1850000000000022
NOR,McLaren,2023,7,Spanish Grand Prix,72.776,0.5039999999999907,3,-0.2830000000000012
MAG,Haas F1 Team,2023,7,Spanish Grand Prix,74.042,1.769999999999996,17,0.8130000000000024
ZHO,Alfa Romeo,2023,8,Canadian Grand Prix,83.342,4.617000000000004,20,1.5210000000000008
VER,Red Bull Racing,2023,8,Canadian Grand Prix,79.092,0.3670000000000044,2,-1.8670000000000044
TSU,AlphaTauri,2023,8,Canadian Grand Prix,82.746,4.021000000000001,16,-0.3910000000000053
STR,Aston Martin,2023,8,Canadian Grand Prix,81.484,2.7590000000000003,13,1.7079999999999984
ALB,Williams,2023,8,Canadian Grand Prix,78.725,0.0,1,-4.612000000000009
ALO,Aston Martin,2023,8,Canadian Grand Prix,79.776,1.051000000000002,5,-1.7079999999999984
BOT,Alfa Romeo,2023,8,Canadian Grand Prix,81.821,3.096000000000004,15,-1.5210000000000008
DEV,AlphaTauri,2023,8,Canadian Grand Prix,83.137,4.412000000000006,18,0.3910000000000053
PIA,McLaren,2023,8,Canadian Grand Prix,79.659,0.9340000000000116,4,0.3120000000000118
RUS,Mercedes,2023,8,Canadian Grand Prix,80.098,1.3730000000000049,7,-0.3280000000000029
SAI,Ferrari,2023,8,Canadian Grand Prix,79.856,1.1310000000000002,6,-0.7590000000000003
SAR,Williams,2023,8,Canadian Grand Prix,83.337,4.612000000000009,19,4.612000000000009
MAG,Haas F1 Team,2023,8,Canadian Grand Prix,81.678,2.953000000000003,14,1.3729999999999905
NOR,McLaren,2023,8,Canadian Grand Prix,79.347,0.6219999999999999,3,-0.3120000000000118
OCO,Alpine,2023,8,Canadian Grand Prix,80.406,1.6810000000000116,9,-2.4799999999999898
PER,Red Bull Racing,2023,8,Canadian Grand Prix,80.959,2.234000000000009,12,1.8670000000000044
GAS,Alpine,2023,8,Canadian Grand Prix,82.886,4.161000000000001,17,2.4799999999999898
HAM,Mercedes,2023,8,Canadian Grand Prix,80.426,1.7010000000000076,10,0.3280000000000029
HUL,Haas F1 Team,2023,8,Canadian Grand Prix,80.305,1.5800000000000125,8,-1.3729999999999905
LEC,Ferrari,2023,8,Canadian Grand Prix,80.615,1.8900000000000008,11,0.7590000000000003
MAG,Haas F1 Team,2023,9,Austrian Grand Prix,65.793,1.402000000000001,17,0.703000000000003
NOR,McLaren,2023,9,Austrian Grand Prix,64.658,0.2669999999999959,4,-0.5549999999999926
OCO,Alpine,2023,9,Austrian Grand Prix,65.295,0.9039999999999964,12,0.2109999999999985
PER,Red Bull Racing,2023,9,Austrian Grand Prix,64.99,0.5989999999999895,8,0.5989999999999895
ZHO,Alfa Romeo,2023,9,Austrian Grand Prix,65.818,1.4269999999999925,18,0.3049999999999926
VER,Red Bull Racing,2023,9,Austrian Grand Prix,64.391,0.0,1,-0.5989999999999895
TSU,AlphaTauri,2023,9,Austrian Grand Prix,65.784,1.393000000000001,16,-0.1899999999999977
STR,Aston Martin,2023,9,Austrian Grand Prix,64.893,0.5019999999999953,6,-0.0180000000000006
ALB,Williams,2023,9,Austrian Grand Prix,65.34,0.948999999999998,13,-0.6079999999999899
ALO,Aston Martin,2023,9,Austrian Grand Prix,64.911,0.519999999999996,7,0.0180000000000006
BOT,Alfa Romeo,2023,9,Austrian Grand Prix,65.513,1.122,15,-0.3049999999999926
DEV,AlphaTauri,2023,9,Austrian Grand Prix,65.974,1.5829999999999984,20,0.1899999999999977
PIA,McLaren,2023,9,Austrian Grand Prix,65.213,0.8219999999999885,11,0.5549999999999926
RUS,Mercedes,2023,9,Austrian Grand Prix,65.408,1.016999999999996,14,0.5889999999999986
SAI,Ferrari,2023,9,Austrian Grand Prix,64.581,0.1899999999999977,3,0.1420000000000101
SAR,Williams,2023,9,Austrian Grand Prix,65.948,1.556999999999988,19,0.6079999999999899
LEC,Ferrari,2023,9,Austrian Grand Prix,64.439,0.0479999999999876,2,-0.1420000000000101
HUL,Haas F1 Team,2023,9,Austrian Grand Prix,65.09,0.6989999999999981,10,-0.703000000000003
HAM,Mercedes,2023,9,Austrian Grand Prix,64.819,0.4279999999999972,5,-0.5889999999999986
GAS,Alpine,2023,9,Austrian Grand Prix,65.084,0.6929999999999978,9,-0.2109999999999985
PER,Red Bull Racing,2023,10,British Grand Prix,89.968,3.2480000000000047,16,3.2480000000000047
OCO,Alpine,2023,10,British Grand Prix,88.956,2.236000000000004,13,1.26700000000001
NOR,McLaren,2023,10,British Grand Prix,86.961,0.2409999999999996,2,-0.1310000000000002
MAG,Haas F1 Team,2023,10,British Grand Prix,92.378,5.658000000000001,20,3.482
GAS,Alpine,2023,10,British Grand Prix,87.689,0.968999999999994,10,-1.26700000000001
HAM,Mercedes,2023,10,British Grand Prix,87.211,0.4909999999999996,7,0.0559999999999973
HUL,Haas F1 Team,2023,10,British Grand Prix,88.896,2.176000000000002,11,-3.482
LEC,Ferrari,2023,10,British Grand Prix,87.136,0.4159999999999968,4,-0.0120000000000004
DEV,AlphaTauri,2023,10,British Grand Prix,90.513,3.7930000000000064,19,0.4879999999999995
BOT,Alfa Romeo,2023,10,British Grand Prix,89.798,3.078000000000003,15,-0.3250000000000028
ALO,Aston Martin,2023,10,British Grand Prix,87.659,0.9390000000000072,9,-1.2759999999999962
ALB,Williams,2023,10,British Grand Prix,87.53,0.8100000000000023,8,-1.5010000000000048
PIA,McLaren,2023,10,British Grand Prix,87.092,0.3719999999999999,3,0.1310000000000002
RUS,Mercedes,2023,10,British Grand Prix,87.155,0.4350000000000023,6,-0.0559999999999973
SAI,Ferrari,2023,10,British Grand Prix,87.148,0.4279999999999972,5,0.0120000000000004
SAR,Williams,2023,10,British Grand Prix,89.031,2.311000000000007,14,1.5010000000000048
ZHO,Alfa Romeo,2023,10,British Grand Prix,90.123,3.403000000000006,18,0.3250000000000028
VER,Red Bull Racing,2023,10,British Grand Prix,86.72,0.0,1,-3.2480000000000047
TSU,AlphaTauri,2023,10,British Grand Prix,90.025,3.305000000000007,17,-0.4879999999999995
STR,Aston Martin,2023,10,British Grand Prix,88.935,2.2150000000000034,12,1.2759999999999962
PIA,McLaren,2023,11,Hungarian Grand Prix,76.905,0.2960000000000065,4,0.2109999999999985
PER,Red Bull Racing,2023,11,Hungarian Grand Prix,77.045,0.436000000000007,9,0.4330000000000069
OCO,Alpine,2023,11,Hungarian Grand Prix,77.841,1.231999999999999,12,-0.2040000000000077
NOR,McLaren,2023,11,Hungarian Grand Prix,76.694,0.0850000000000079,3,-0.2109999999999985
STR,Aston Martin,2023,11,Hungarian Grand Prix,77.861,1.2520000000000095,13,0.8260000000000076
TSU,AlphaTauri,2023,11,Hungarian Grand Prix,78.919,2.3100000000000023,17,0.9170000000000016
VER,Red Bull Racing,2023,11,Hungarian Grand Prix,76.612,0.0030000000000001,2,-0.4330000000000069
ZHO,Alfa Romeo,2023,11,Hungarian Grand Prix,76.971,0.362000000000009,5,-0.0630000000000023
ALB,Williams,2023,11,Hungarian Grand Prix,78.917,2.308000000000007,16,-0.331000000000003
ALO,Aston Martin,2023,11,Hungarian Grand Prix,77.035,0.4260000000000019,8,-0.8260000000000076
BOT,Alfa Romeo,2023,11,Hungarian Grand Prix,77.034,0.4250000000000113,7,0.0630000000000023
GAS,Alpine,2023,11,Hungarian Grand Prix,78.045,1.436000000000007,15,0.2040000000000077
RIC,AlphaTauri,2023,11,Hungarian Grand Prix,78.002,1.393000000000001,14,-0.9170000000000016
RUS,Mercedes,2023,11,Hungarian Grand Prix,79.027,2.4180000000000064,18,2.4180000000000064
SAI,Ferrari,2023,11,Hungarian Grand Prix,77.703,1.0940000000000083,11,0.7109999999999985
SAR,Williams,2023,11,Hungarian Grand Prix,79.248,2.63900000000001,20,0.331000000000003
HAM,Mercedes,2023,11,Hungarian Grand Prix,76.609,0.0,1,-2.4180000000000064
HUL,Haas F1 Team,2023,11,Hungarian Grand Prix,77.186,0.5770000000000124,10,-2.019999999999996
LEC,Ferrari,2023,11,Hungarian Grand Prix,76.992,0.3830000000000098,6,-0.7109999999999985
MAG,Haas F1 Team,2023,11,Hungarian Grand Prix,79.206,2.5970000000000084,19,2.019999999999996
NOR,McLaren,2023,12,Belgian Grand Prix,107.669,1.5009999999999906,7,0.304000000000002
OCO,Alpine,2023,12,Belgian Grand Prix,116.372,10.203999999999994,15,2.7009999999999934
PER,Red Bull Racing,2023,12,Belgian Grand Prix,107.045,0.8769999999999953,3,0.8769999999999953
PIA,McLaren,2023,12,Belgian Grand Prix,107.365,1.1969999999999883,6,-0.304000000000002
HAM,Mercedes,2023,12,Belgian Grand Prix,107.087,0.9189999999999968,4,-0.7180000000000035
HUL,Haas F1 Team,2023,12,Belgian Grand Prix,123.166,16.99799999999999,20,9.006
LEC,Ferrari,2023,12,Belgian Grand Prix,106.988,0.8199999999999932,2,-0.1640000000000014
MAG,Haas F1 Team,2023,12,Belgian Grand Prix,114.16,7.99199999999999,13,-9.006
ZHO,Alfa Romeo,2023,12,Belgian Grand Prix,120.832,14.663999999999987,18,6.137999999999991
VER,Red Bull Racing,2023,12,Belgian Grand Prix,106.168,0.0,1,-0.8769999999999953
TSU,AlphaTauri,2023,12,Belgian Grand Prix,113.148,6.97999999999999,11,-6.335000000000008
STR,Aston Martin,2023,12,Belgian Grand Prix,108.841,2.672999999999988,10,0.9979999999999905
RIC,AlphaTauri,2023,12,Belgian Grand Prix,119.483,13.314999999999998,16,6.335000000000008
RUS,Mercedes,2023,12,Belgian Grand Prix,107.805,1.6370000000000005,8,0.7180000000000035
SAI,Ferrari,2023,12,Belgian Grand Prix,107.152,0.9839999999999948,5,0.1640000000000014
SAR,Williams,2023,12,Belgian Grand Prix,121.535,15.36699999999999,19,1.2210000000000036
ALB,Williams,2023,12,Belgian Grand Prix,120.314,14.145999999999988,17,-1.2210000000000036
ALO,Aston Martin,2023,12,Belgian Grand Prix,107.843,1.6749999999999972,9,-0.9979999999999905
BOT,Alfa Romeo,2023,12,Belgian Grand Prix,114.694,8.525999999999996,14,-6.137999999999991
GAS,Alpine,2023,12,Belgian Grand Prix,113.671,7.503,12,-2.7009999999999934
SAR,Williams,2023,13,Dutch Grand Prix,76.748,6.181000000000012,10,5.329000000000008
SAI,Ferrari,2023,13,Dutch Grand Prix,71.754,1.1870000000000118,6,-0.9110000000000014
RUS,Mercedes,2023,13,Dutch Grand Prix,71.294,0.7270000000000039,3,-8.857
PIA,McLaren,2023,13,Dutch Grand Prix,71.938,1.371000000000009,8,0.8340000000000032
PER,Red Bull Racing,2023,13,Dutch Grand Prix,71.88,1.3130000000000024,7,1.3130000000000024
OCO,Alpine,2023,13,Dutch Grand Prix,82.11,11.543000000000006,17,1.9819999999999995
NOR,McLaren,2023,13,Dutch Grand Prix,71.104,0.5370000000000061,2,-0.8340000000000032
MAG,Haas F1 Team,2023,13,Dutch Grand Prix,82.192,11.625,18,1.941999999999993
LEC,Ferrari,2023,13,Dutch Grand Prix,72.665,2.098000000000013,9,0.9110000000000014
LAW,AlphaTauri,2023,13,Dutch Grand Prix,83.42,12.853000000000009,20,3.1899999999999977
HUL,Haas F1 Team,2023,13,Dutch Grand Prix,80.25,9.683000000000009,15,-1.941999999999993
HAM,Mercedes,2023,13,Dutch Grand Prix,80.151,9.584000000000003,13,8.857
GAS,Alpine,2023,13,Dutch Grand Prix,80.128,9.561000000000009,12,-1.9819999999999995
BOT,Alfa Romeo,2023,13,Dutch Grand Prix,82.26,11.693000000000012,19,0.193000000000012
ALO,Aston Martin,2023,13,Dutch Grand Prix,71.506,0.9390000000000072,5,-8.614999999999995
ALB,Williams,2023,13,Dutch Grand Prix,71.419,0.8520000000000039,4,-5.329000000000008
ZHO,Alfa Romeo,2023,13,Dutch Grand Prix,82.067,11.5,16,-0.193000000000012
VER,Red Bull Racing,2023,13,Dutch Grand Prix,70.567,0.0,1,-1.3130000000000024
TSU,AlphaTauri,2023,13,Dutch Grand Prix,80.23,9.663000000000013,14,-3.1899999999999977
STR,Aston Martin,2023,13,Dutch Grand Prix,80.121,9.554000000000002,11,8.614999999999995
ALB,Williams,2023,14,Italian Grand Prix,80.76,0.4660000000000082,6,-1.1700000000000017
ALO,Aston Martin,2023,14,Italian Grand Prix,81.417,1.1230000000000049,10,-1.4429999999999978
BOT,Alfa Romeo,2023,14,Italian Grand Prix,81.94,1.6460000000000008,15,-0.4500000000000028
GAS,Alpine,2023,14,Italian Grand Prix,82.545,2.2510000000000048,17,-0.0030000000000001
LEC,Ferrari,2023,14,Italian Grand Prix,80.361,0.0670000000000072,3,0.0670000000000072
LAW,AlphaTauri,2023,14,Italian Grand Prix,81.758,1.4639999999999986,12,0.1640000000000014
HUL,Haas F1 Team,2023,14,Italian Grand Prix,81.776,1.481999999999999,13,-0.8160000000000025
HAM,Mercedes,2023,14,Italian Grand Prix,80.82,0.5259999999999962,8,0.1489999999999867
SAR,Williams,2023,14,Italian Grand Prix,81.93,1.63600000000001,14,1.1700000000000017
SAI,Ferrari,2023,14,Italian Grand Prix,80.294,0.0,1,-0.0670000000000072
RUS,Mercedes,2023,14,Italian Grand Prix,80.671,0.3770000000000095,4,-0.1489999999999867
PIA,McLaren,2023,14,Italian Grand Prix,80.785,0.4909999999999996,7,-0.1940000000000026
ZHO,Alfa Romeo,2023,14,Italian Grand Prix,82.39,2.096000000000004,16,0.4500000000000028
VER,Red Bull Racing,2023,14,Italian Grand Prix,80.307,0.0130000000000052,2,-0.3810000000000002
TSU,AlphaTauri,2023,14,Italian Grand Prix,81.594,1.2999999999999972,11,-0.1640000000000014
