EventName,Condition,MeanPitTime,MedianPitTime,StdPitTime,MeanEffLoss,MedianEffLoss,StdEffLoss,Count
British Grand Prix,Normal,29.74727272727274,29.117499999999836,2.3778072083680453,29.74727272727274,29.117499999999836,2.3778072083680453,88
British Grand Prix,SC,29.713750000000232,29.101000000000113,1.9318843317933994,20.122741261321913,18.957474771541,1.8855324183569866,8
British Grand Prix,VSC,29.132999999999868,28.966999999999643,0.5806142068042357,27.388529150264887,28.710499999999683,3.3875163567298077,8
Canadian Grand Prix,Normal,24.37302739726031,23.985000000000582,1.7241339772363413,24.37302739726031,23.985000000000582,1.7241339772363413,73
Canadian Grand Prix,SC,21.545987804877985,18.340499999999338,4.844132955057074,14.827196349602826,12.034561959419758,4.315628130667386,82
Chinese Grand Prix,Normal,23.736148936170217,22.875,3.6709416039953537,23.736148936170217,22.875,3.6709416039953537,47
Chinese Grand Prix,SC,23.281692307692328,22.661000000000058,1.211312124971256,16.688653246013544,16.24373203673694,0.868286023162413,13
Chinese Grand Prix,VSC,22.476750000000266,22.387500000000273,0.3354095754947514,17.027096194822892,16.95948551554818,0.254087050245866,4
Dutch Grand Prix,Normal,22.2786460176992,20.718000000000757,5.289275417768073,22.2786460176992,20.718000000000757,5.289275417768073,113
Dutch Grand Prix,SC,21.192714285714075,18.7470000000003,5.4214240400328615,14.187014317580706,12.719085009733924,3.2584244068687402,35
Dutch Grand Prix,VSC,35.60899999999856,35.60899999999856,,19.229265039810493,19.229265039810493,,1
Emilia Romagna Grand Prix,Normal,31.215650000000004,30.234500000000025,4.385083167646833,31.215650000000004,30.234500000000025,4.385083167646833,40
Emilia Romagna Grand Prix,SC,30.913444444444597,30.27900000000045,1.5273865842597205,21.18447783479958,20.749703434460823,1.0466930431375825,9
Emilia Romagna Grand Prix,VSC,30.592600000000008,30.46100000000024,0.6593197576723099,19.76140946345017,19.676401929426078,0.4258901727445608,15
Hungarian Grand Prix,Normal,22.20974285714281,21.855999999999767,1.642821470874041,22.20974285714281,21.855999999999767,1.642821470874041,105
Italian Grand Prix,Normal,25.689310810810856,24.69549999999981,3.091432353774454,25.689310810810856,24.69549999999981,3.091432353774454,74
Japanese Grand Prix,Normal,24.63826373626371,23.48400000000038,4.415624422523025,24.63826373626371,23.48400000000038,4.415624422523025,91
Japanese Grand Prix,SC,39.77533333333334,36.80400000000009,11.220039833559609,27.515082814863657,25.459625930264423,7.7616024640010135,6
Japanese Grand Prix,VSC,37.749999999999545,37.749999999999545,20.306692542115165,33.36828242495905,33.36828242495905,17.949654353963354,2
Las Vegas Grand Prix,Normal,22.23641891891896,21.415500000000065,2.7499946251840464,22.23641891891896,21.415500000000065,2.7499946251840464,74
Las Vegas Grand Prix,SC,22.377166666666596,22.179500000000075,1.122881587971763,15.35602048996091,15.22037447951067,0.7705619272336063,12
Las Vegas Grand Prix,VSC,29.526142857142922,29.389999999999986,8.077433697830982,22.401249383968167,22.734363339314672,6.492724954771578,7
Mexico City Grand Prix,Normal,23.961153846153774,22.729999999999563,3.79659987369783,23.961153846153774,22.729999999999563,3.79659987369783,65
Mexico City Grand Prix,SC,22.8743333333335,22.57800000000043,0.6974326729753402,14.348084907728593,14.162207760373343,0.43746950188453715,3
Miami Grand Prix,Normal,23.369750000000067,22.52350000000024,4.144665549527685,23.369750000000067,22.52350000000024,4.144665549527685,44
Miami Grand Prix,SC,24.07579999999989,22.64800000000014,3.228936040796567,18.00803900385568,16.940083708924636,2.4151557233246725,10
Miami Grand Prix,VSC,22.684083333333547,22.36700000000019,0.6999260296416436,18.37822880138624,17.796427533385287,1.6551273435380842,12
Monaco Grand Prix,Normal,25.79822500000004,24.476000000000113,3.908171426396373,25.79822500000004,24.476000000000113,3.908171426396373,80
